transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,product_name_master,category_master,revenue,discount_amount,net_revenue
16,765,Eric Gaines,104,8000.0,Shoes,clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,7994dd1de38b1118558ca1ca7d41855a8c0c42f7ff4044447b62896a94acecba,XXXXXX1327,successful,Shoes,Clothing,40000.0,6000.0,34000.0
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,fac4dcc8ab7348aa83d911264d07925b9f733b815ce06bb28547fedb07d981eb,XXXXXX0219,successful,Phone,Electronics,210000.0,31500.0,178500.0
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,home appliances,offline,Mumbai,2025-05-15,2,Card,0.15,75bd6f84632b1688ccf56ddc68770b36b05811d27807b5f5fb0655d10e95184c,XXXXXX9731,successful,Mixer Grinder,Home Appliances,30000.0,4500.0,25500.0
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,831c6126f8a1de713d8632770c2566155e5c2d0ced549b90d0758edae64c0d1c,XXXXXX5116,successful,Shirt,Clothing,5200.0,1040.0,4160.0
20,576,Angela Weiss,104,8000.0,Shoes,clothing,online,Delhi,2025-07-05,1,Card,0.15,25a9d1c837f4bf2812bcc3ed8ebb759fe08eeb63c6e02247ad8cc10d86874f62,XXXXXX3539,successful,Shoes,Clothing,8000.0,1200.0,6800.0
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,23f282bd744c97705ad26bcf56a6d8c77539f407c2457adf39ae0014fe17b9b4,XXXXXX1732,successful,Refrigerator,Home Appliances,195000.0,9750.0,185250.0
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,f804854d80f8e7b8282b518b85d49a3b04e31e00e852d6b85bd0c5c316d7de7a,XXXXXX2093,successful,Refrigerator,Home Appliances,260000.0,104000.0,156000.0
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,home appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,5e6f5536a427d3fbd6ea71f1c859a2295451d6abc5d077109d81857dea0e543a,XXXXXX9548,successful,Mixer Grinder,Home Appliances,30000.0,7500.0,22500.0
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,home appliances,offline,Delhi,2025-05-16,3,Cash,0.25,08194ee6d135d934e7d0321240c43f7fd76a2cb0f9dbcb3c7e8f9c7daf748b66,XXXXXX0744,successful,Mixer Grinder,Home Appliances,45000.0,11250.0,33750.0
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,e85a7a09d6dca5929883dce5a1217bb242b0d7843835621294dd1c824464795a,XXXXXX5109,successful,Phone,Electronics,70000.0,21000.0,49000.0
26,149,Ashley Mejia,106,80000.0,Sofa,FURN,offline,Chennai,2026-01-28,1,Cash,0.05,8318efc7a721b12bf05c325351d78424b571cb4130b1f8a2602d30190b28e09c,XXXXXX6443,successful,Sofa,Furniture,80000.0,4000.0,76000.0
27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,a024997c5651f4411537ebb806814534febcace615b62465d94f79bb8ebae92f,XXXXXX0514,successful,TV,Electronics,225000.0,45000.0,180000.0
28,868,Timothy Henderson,107,50000.0,Dining Table,furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,f1b5203b101f9022599b48a3b2ab5b84df11f001df2ef25839a2056d931fd23c,XXXXXX8386,successful,Dining Table,Furniture,50000.0,15000.0,35000.0
29,1,Karen Pollard,109,65000.0,Refrigerator,home appliances,online,Hyderabad,2025-06-28,2,Card,0.3,38878d194d81226c14a1998858917cc7069bd1cafc635e6fa376320e9f561484,XXXXXX6363,successful,Refrigerator,Home Appliances,130000.0,39000.0,91000.0
30,980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,ee79682e79ab757b458c0e1301e157db99d1fd134c1be6eac5f2c32a0b0b24e6,XXXXXX3841,successful,Sofa,Furniture,400000.0,20000.0,380000.0
31,455,Morgan Wright,107,50000.0,Dining Table,furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,021fdd12229b1dccb0b46f65afcc82ea433e5a1babe490a350ddbc1718c8b2a2,XXXXXX4087,successful,Dining Table,Furniture,200000.0,60000.0,140000.0
32,367,Joshua Tate,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,ab0006ae0a752b7d16e45025179a49302ecc828b1171fd3ef17ae8925ff6cc4d,XXXXXX3716,successful,TV,Electronics,180000.0,72000.0,108000.0
34,968,Keith Davis,107,50000.0,Dining Table,FURN,offline,Hyderabad,2025-11-09,4,Cash,0.15,7200b56e33ad623e51c35b5b9703e693c583e789d0cf8352ade3392e81b3a460,XXXXXX4512,successful,Dining Table,Furniture,200000.0,30000.0,170000.0
35,390,Erika Knight,110,45000.0,Microwave,HOME,online,Mumbai,2025-05-25,2,Card,0.1,002e230a14753479faa5bef3a74da4610e857b4e4b7b992a12ef59e25302bbf3,XXXXXX7025,successful,Microwave,Home Appliances,90000.0,9000.0,81000.0
36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,8c51fb1e34f92f845932b5204e80a397331a4d8abc4058dd2e132f4d5da91a7b,XXXXXX0493,successful,Phone,Electronics,140000.0,14000.0,126000.0
37,46,Mallory Boyd,103,1300.0,Shirt,clothing,offline,Delhi,2026-01-07,3,UPI,0.1,759d457bc519089082643577b0a740c82c9cbcbf86a064f885dacfe803adf1d9,XXXXXX2449,successful,Shirt,Clothing,3900.0,390.0,3510.0
38,437,Carrie Landry,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,fe3c471c23522b47421db9cae00a4f01e88ee91705ab924c3e24203cef5bc63e,XXXXXX2206,successful,Shoes,Clothing,8000.0,2000.0,6000.0
39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,495666da97215ae82318316ff943a8800abae2e5a395c4d59f51b9b361c5e840,XXXXXX3410,successful,Shoes,Clothing,8000.0,800.0,7200.0
40,391,Catherine Beard,103,1300.0,Shirt,CLOTH,offline,Mumbai,2026-08-03,2,NetBanking,0.3,9f58d044673af925ce04a88a0d83e2585b613ed11e52411572b6547fef36185b,XXXXXX7305,successful,Shirt,Clothing,2600.0,780.0,1820.0
41,743,Dorothy Davis,103,1300.0,Shirt,CLOTH,online,Delhi,2025-12-22,3,NetBanking,0.1,21b9256b2dc4eaec40590e7555a8db5a32f9ff4a9793e6d26de996e02d68ea36,XXXXXX3600,successful,Shirt,Clothing,3900.0,390.0,3510.0
42,17,Duane Hall,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,ebb6c6dfe3b541831f15161769c5bf41b8bbb024f6411827b053836ce821ec5c,XXXXXX1149,successful,TV,Electronics,90000.0,27000.0,63000.0
43,861,Tim Brock,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,ad972f3e86af2111d6d9c8a54628697e91c72887b5b1d2fec9822819b61e4970,XXXXXX1491,successful,TV,Electronics,225000.0,90000.0,135000.0
44,213,Nancy Lee,104,8000.0,Shoes,CLOTH,offline,Hyderabad,2025-05-14,3,Card,0.25,839a63fef735376c205b347b958be55da99de95e793775baf84361fbeeba01c6,XXXXXX7242,successful,Shoes,Clothing,24000.0,6000.0,18000.0
45,220,Maria Walker,104,8000.0,Shoes,clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,c76ab918524edd26ba90c27092cb6025cd4ad445a8034e1a744a3c8e2c6bcb70,XXXXXX5210,successful,Shoes,Clothing,32000.0,4800.0,27200.0
46,463,Kevin Cruz,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,82517fa8d5c87d23de33c09519d379699e04d1425c16002a263a311f80d935d4,XXXXXX4173,successful,Shoes,Clothing,40000.0,4000.0,36000.0
47,429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,29eb9dae4c5607e26afe03e349b6f1305098f8d55bf1e9501fe8ebb6a0e0735e,XXXXXX3250,successful,Laptop,Electronics,1000000.0,100000.0,900000.0
48,222,Emily Hernandez,108,15000.0,Mixer Grinder,home appliances,offline,Delhi,2025-07-11,1,Cash,0.25,36cb6b29605f90a285321306ac65b8d1dc2bae5db5f3f0c3bf6d475b13d07355,XXXXXX8256,successful,Mixer Grinder,Home Appliances,15000.0,3750.0,11250.0
49,971,Larry Ramos,103,1300.0,Shirt,CLOTH,offline,Chennai,2025-07-10,5,UPI,0.2,2cdff5bb460296020781eac93c84a9e1dfb2c0e531c81abc30b3f3c5826c5a7d,XXXXXX5114,successful,Shirt,Clothing,6500.0,1300.0,5200.0
50,670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,1dda34f3a8c9ce952c56b4f52730defda8d636f5958334da4c679a29e9f741af,XXXXXX4911,successful,Sofa,Furniture,400000.0,60000.0,340000.0
51,485,James Harris,107,50000.0,Dining Table,furniture,online,Delhi,2025-07-12,2,Card,0.1,b4add930b3e517d8f0b5c7ece3568bd22fdff0adfec268dc5aa5d2cdbf971213,XXXXXX7157,successful,Dining Table,Furniture,100000.0,10000.0,90000.0
52,883,Charles David,104,8000.0,Shoes,clothing,online,Delhi,2025-07-17,1,Card,0.4,6c164b15e77002bde0c041e0267f3f33643d1924c7dbb78f54898621bd8eaa08,XXXXXX7922,successful,Shoes,Clothing,8000.0,3200.0,4800.0
53,202,Amanda Reed,103,1300.0,Shirt,clothing,offline,Delhi,2025-11-03,1,Card,0.15,31a58b7cecbfb6d45a52ad268be567e2c40845ee8b9ff3db2d29dcbaf1758947,XXXXXX7299,successful,Shirt,Clothing,1300.0,195.0,1105.0
54,817,Nicole Ross,107,50000.0,Dining Table,furniture,offline,Chennai,2025-07-25,3,Cash,0.25,aab66299ef9b27e20d47501aed00a6b7bed14967cedf54517506f97e8dace882,XXXXXX9866,successful,Dining Table,Furniture,150000.0,37500.0,112500.0
55,801,Brandi Bryan,104,8000.0,Shoes,clothing,online,Delhi,2025-10-01,5,UPI,0.3,178c5a79c6e78d2eda894490dd22b4f4c4a5a998ae7b206f4344548971efb6e2,XXXXXX6583,successful,Shoes,Clothing,40000.0,12000.0,28000.0
56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,d8ab4780a03f23d4999c052542ccf2ca24cd1f49a81c1b036696f0168d2abda0,XXXXXX8578,successful,Shoes,Clothing,16000.0,6400.0,9600.0
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,b94c1522b70d47f00abc49ac947eed1c74f16aa53fce19ac34c0b7731b741fe0,XXXXXX0077,successful,TV,Electronics,225000.0,45000.0,180000.0
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,b94c1522b70d47f00abc49ac947eed1c74f16aa53fce19ac34c0b7731b741fe0,XXXXXX0077,failed,TV,Electronics,225000.0,45000.0,180000.0
58,873,Tracy Bass,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,0316e141aed4d0c833de7cbf0254ea2e03778e391e037dbce5af3413b35279db,XXXXXX8034,successful,Laptop,Electronics,750000.0,112500.0,637500.0
59,854,Dennis Dorsey,108,15000.0,Mixer Grinder,HOME,online,Hyderabad,2025-07-13,3,NetBanking,0.15,e42e15768da2a9b674df11f18e1069faa449917d02434623fb3c5a8342dca42e,XXXXXX2116,successful,Mixer Grinder,Home Appliances,45000.0,6750.0,38250.0
60,874,Samuel Patel,106,80000.0,Sofa,FURN,offline,Mumbai,2025-05-20,5,UPI,0.25,353296568ff9fab18059185a83d8f0d2a3499768c55a55d610f4bcba83b3fd26,XXXXXX3067,successful,Sofa,Furniture,400000.0,100000.0,300000.0
61,507,Thomas Cameron,104,8000.0,Shoes,CLOTH,offline,Delhi,2025-12-23,2,Cash,0.3,d1a3662414787e46f75a4c7dfc80a30ace6eb31de5488f1e9b660701cb9f4138,XXXXXX2264,successful,Shoes,Clothing,16000.0,4800.0,11200.0
62,736,Lisa Lee,104,8000.0,Shoes,clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,47274124ed6cea6f7e308d2692db3269d2bfd14614db4c8f72f13d61846f3cff,XXXXXX6221,successful,Shoes,Clothing,32000.0,1600.0,30400.0
63,182,Kathleen Castro,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,b968291086a95323d5bba7d5a446dfa484cd63bf57e8e25fc7e2bf74b5720cd9,XXXXXX9367,successful,Dining Table,Furniture,250000.0,87500.0,162500.0
64,341,Cory Alvarado,110,45000.0,Microwave,home appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,6dba4c70a461d0ad3d43d0dc9817cd3f2aea2d647c3d8f80d67633470185b8c4,XXXXXX9155,successful,Microwave,Home Appliances,135000.0,13500.0,121500.0
65,937,Nicole Woods,108,15000.0,Mixer Grinder,home appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,222801174f3e68d9dba2b85c643ab89edc17c4c64dbeababa062c61b3966b69a,XXXXXX9075,successful,Mixer Grinder,Home Appliances,30000.0,7500.0,22500.0
66,164,Shawn Stewart,104,8000.0,Shoes,CLOTH,offline,Chennai,2025-04-16,2,Card,0.3,b49023f0bee370414cd5d009ad3aa042b02b1105fb6bc41e829785165754764b,XXXXXX4854,successful,Shoes,Clothing,16000.0,4800.0,11200.0
67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,439c379db3104f1775b7d94c3bb5fb7da619570aa9a03f7d9795fc13f5684505,XXXXXX7624,successful,Refrigerator,Home Appliances,195000.0,58500.0,136500.0
68,603,Shawn Roberson,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,9d472fcd9bd2f759c005cb2055ad0b610f6e8f8b792a350e47e333373d030351,XXXXXX2575,successful,Shoes,Clothing,32000.0,4800.0,27200.0
69,656,Adam White,104,8000.0,Shoes,clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,448ef813a5248beb5d33c9eff9267e91e6bddb7e0572bb3132d06cf5ad916419,XXXXXX8407,successful,Shoes,Clothing,8000.0,800.0,7200.0
70,687,Robert Estrada,110,45000.0,Microwave,HOME,offline,Hyderabad,2026-04-05,1,UPI,0.1,c3247b8e7d93f18177755e97012815788f24b57e3afc4d29cce01c6e38304046,XXXXXX9773,successful,Microwave,Home Appliances,45000.0,4500.0,40500.0
71,186,Dawn Garrett,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,79680eda3b6a449222dc65431c9a8ea1135f0b51f11ec4e086fc861a020fffd5,XXXXXX0201,successful,TV,Electronics,90000.0,27000.0,63000.0
72,865,Jessica Patterson,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,e3592139e35c685053cfae7009c4f6e4c20ba3034c91d18a59d67a907a108aad,XXXXXX0460,successful,Phone,Electronics,70000.0,14000.0,56000.0
73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,4bea21dfb692c8467a967765c6baea13dd2f1e0ea834f3638e9fc372ec04a9fd,XXXXXX9627,successful,Laptop,Electronics,1000000.0,100000.0,900000.0
75,729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,1ec3d340009a49b7bef53a20565c3be89393277b139578ffbfec6f40b7cee8ba,XXXXXX9121,successful,Mixer Grinder,Home Appliances,15000.0,1500.0,13500.0
78,874,Samuel Patel,104,8000.0,Shoes,clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,353296568ff9fab18059185a83d8f0d2a3499768c55a55d610f4bcba83b3fd26,XXXXXX3067,successful,Shoes,Clothing,32000.0,3200.0,28800.0
79,977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,57a55b9550f75bc8de4f58e05098c93805b9c3afdcad32b88448f39709bf1949,XXXXXX0862,successful,Phone,Electronics,350000.0,105000.0,245000.0
80,735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,5477286d77cee4d02f0f9599428a627ffed898555933e2eb8b11dd5915099a84,XXXXXX1868,successful,Mixer Grinder,Home Appliances,75000.0,3750.0,71250.0
81,704,Susan Thomas,107,50000.0,Dining Table,FURN,offline,Chennai,2026-04-14,5,UPI,0.25,d0eaa2e61d6d7ea439efb1f67011431e81c3a1344bb32bc2caefac78e9bea049,XXXXXX6032,successful,Dining Table,Furniture,250000.0,62500.0,187500.0
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,d3a60d71674bec4b1767dd6de907b4fee5a31a67971ad4bc406f9d41942fa3b2,XXXXXX9323,successful,Laptop,Electronics,1000000.0,400000.0,600000.0
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,d3a60d71674bec4b1767dd6de907b4fee5a31a67971ad4bc406f9d41942fa3b2,XXXXXX9323,failed,Laptop,Electronics,1000000.0,400000.0,600000.0
83,11,James Leblanc,110,45000.0,Microwave,HOME,online,Delhi,2025-06-28,3,NetBanking,0.2,94996625068723cbf9e80a28bce46f1407ffcf1cdcbce738bcb8fdb01580e696,XXXXXX0360,successful,Microwave,Home Appliances,135000.0,27000.0,108000.0
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,59712e06dd3e791240c47f488e2c650aa5ddc83e591941a2ffb887bcf2b88c93,XXXXXX0361,successful,TV,Electronics,225000.0,45000.0,180000.0
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,59712e06dd3e791240c47f488e2c650aa5ddc83e591941a2ffb887bcf2b88c93,XXXXXX0361,failed,TV,Electronics,225000.0,45000.0,180000.0
85,108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,c301911d36f42b7a026ae847d604ac2c612d4c23961291c15e0cb3a0702c7a25,XXXXXX8527,successful,Laptop,Electronics,1250000.0,125000.0,1125000.0
86,427,Kelly Mccormick,103,1300.0,Shirt,clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,726f2bf24a40a3b4a330fbb3db903eec82b37236962776fd26609fc3c1a169c8,XXXXXX6970,successful,Shirt,Clothing,5200.0,260.0,4940.0
87,454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,716eaa87d41bd6c37ac8a45267e5a7377fc0d7c3a44475ec132ebf70dbaaedfd,XXXXXX5336,successful,Phone,Electronics,70000.0,10500.0,59500.0
88,975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,afc12ad7c2b1d3b34e95b56e4b2cdf43e6f7a3cc2bb9f33f4493186fa4a36b13,XXXXXX0490,successful,Microwave,Home Appliances,135000.0,27000.0,108000.0
89,992,William Rose,107,50000.0,Dining Table,FURN,online,Hyderabad,2025-12-20,5,Cash,0.15,0d1e8c8c55df93f60243b1d8a5fb72de70bc1d81c2dcd79b233d3a09e9672098,XXXXXX0906,successful,Dining Table,Furniture,250000.0,37500.0,212500.0
90,439,Billy James,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,dcdeb9afe38eed030297a327c18707ad3e8dfb810a2fa44bf8099a1dda7550ec,XXXXXX7874,successful,Phone,Electronics,210000.0,84000.0,126000.0
91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,be43f314624b421feccb992f36bac8c8b1055ff7aec155d1cb92aecbff560a66,XXXXXX6788,successful,Phone,Electronics,70000.0,28000.0,42000.0
92,728,Lisa Miller,108,15000.0,Mixer Grinder,HOME,offline,Chennai,2026-03-28,1,NetBanking,0.05,4fdac8377bcedb28f81b68f0a705c723fa8db723aaf81bae28160a1f37eaea1a,XXXXXX3795,successful,Mixer Grinder,Home Appliances,15000.0,750.0,14250.0
93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,79aac7227a9c2ca2174bd4adcd693678c24897d18e3a00d10361fe8b3314e100,XXXXXX9832,successful,Phone,Electronics,350000.0,52500.0,297500.0
94,50,Stacey Henderson,104,8000.0,Shoes,CLOTH,online,Mumbai,2025-02-11,4,Cash,0.25,12a13a49dea01990cf597c22fabd0d4051b0f9e7cb783b454f3af15341d50957,XXXXXX2385,successful,Shoes,Clothing,32000.0,8000.0,24000.0
95,478,Crystal Mejia,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,9e78e9a427724dd07dc6cc7f8d9a962a11fc0b0ea87f3df4ed5bc9ac6ec3e7b5,XXXXXX1187,successful,Dining Table,Furniture,50000.0,20000.0,30000.0
96,153,Stephanie Hanna,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,81d76d5fc5a56873d2e21cdb1c2968b6c8cb660e37dbdcf81d3d57b68c6bd899,XXXXXX8701,successful,Microwave,Home Appliances,45000.0,6750.0,38250.0
98,372,Brandon Gordon,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,735517cb6ffef86351d258acdf08c8284f1be3d4205d421de84cda4535018029,XXXXXX1702,successful,TV,Electronics,225000.0,33750.0,191250.0
99,753,Kelly Ball,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,641a1e390bd1eaab1e00a2358c03674483bd762b42d3a5193fcddf88c416b9f2,XXXXXX2869,successful,Phone,Electronics,210000.0,31500.0,178500.0
100,864,Cameron Black,109,65000.0,Refrigerator,HOME,online,Chennai,2025-04-20,1,UPI,0.15,f842de5fc6e0b75b586d413b7f3d48e6dc07751f2385c2bd38e503377b43b861,XXXXXX9477,successful,Refrigerator,Home Appliances,65000.0,9750.0,55250.0
101,645,Joshua Burton,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,be43f314624b421feccb992f36bac8c8b1055ff7aec155d1cb92aecbff560a66,XXXXXX6788,successful,Phone,Electronics,70000.0,17500.0,52500.0
102,1000,Shannon Haley,103,1300.0,Shirt,clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,0afe9899b036930f0c3c383b7ad3136568096a69c1d08d3cb2a4301d96640c3e,XXXXXX6701,successful,Shirt,Clothing,3900.0,585.0,3315.0
